...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
409,"Black Rain (黒い雨, Kuroi Ame) (1965), Masuji Ibuse",Black Rain (1989),Black Rain,1989,"Black Rain,1989",tt0096933,Black Rain,Black Rain,0,1989,125,"Action,Crime,Drama",6.6,63040,Black Rain,Black Rain,Masuji Ibuse,"Black Rain,Masuji Ibuse",Black Rain,"[""Masuji Ibuse""]",3.99,4171,2248,2248,"Sep 22, 1989",Black Rain,30000000,45892212,"$133,892,212",2201,"Black Rain,1989"
409,"Black Rain (黒い雨, Kuroi Ame) (1965), Masuji Ibuse",Black Rain (1989),Black Rain,1989,"Black Rain,1989",tt0097694,Black Rain,Kuroi ame,0,1989,123,"Drama,War",7.8,4270,Kuroi ame,Black Rain,Masuji Ibuse,"Black Rain,Masuji Ibuse",Black Rain,"[""Masuji Ibuse""]",3.99,4171,2248,2248,"Sep 22, 1989",Black Rain,30000000,45892212,"$133,892,212",2201,"Black Rain,1989"
418,"The Blank Wall (1947), Elisabeth Sanxay Holding",The Deep End (2001),The Deep End,2001,"The Deep End,2001",tt0250323,The Deep End,The Deep End,0,2001,101,"Crime,Drama,Mystery",6.5,12429,The Deep End,The Blank Wall,Elisabeth Sanxay Holding,"The Blank Wall,Elisabeth Sanxay Holding",The Blank Wall,"[""Elisabeth Sanxay Holding""]",3.82,912,5498,5498,"Aug 8, 2001",The Deep End,3000000,8823109,"$9,981,635",5401,"The Deep End,2001"
425,"Bless the Child (1993), Cathy Cash Spellman",Bless the Child (2000),Bless the Child,2000,"Bless the Child,2000",tt0163983,Bless the Child,Bless the Child,0,2000,107,"Crime,Drama,Horror",5.1,15833,Bless the Child,Bless the Child,Cathy Cash Spellman,"Bless the Child,Cathy Cash Spellman",Bless the Child,"[""Cathy Cash Spellman""]",3.77,684,1776,1776,"Aug 11, 2000",Bless the Child,40000000,29374178,"$40,435,694",1701,"Bless the Child,2000"
481,"The Boys from Brazil (1976), Ira Levin",The Boys from Brazil (1978),The Boys from Brazil,1978,"The Boys from Brazil,1978",tt0077269,The Boys from Brazil,The Boys from Brazil,0,1978,125,"Drama,Mystery,Sci-Fi",7,32887,The Boys from Brazil,The Boys from Brazil,Ira Levin,"The Boys from Brazil,Ira Levin",The Boys from Brazil,"[""Ira Levin""]",4.06,38784,3952,3952,1978,The Boys from Brazil,12000000,19000000,"$19,000,000",3901,"The Boys from Brazil,1978"
485,"The Brave Little Toaster (1986), Thomas M. Disch",The Brave Little Toaster (1987),The Brave Little Toaster,1987,"The Brave Little Toaster,1987",tt0092695,The Brave Little Toaster,The Brave Little Toaster,0,1987,90,"Adventure,Animation,Family",7.2,28930,The Brave Little Toaster,The Brave Little Toaster,Thomas M. Disch,"The Brave Little Toaster,Thomas M. Disch",The Brave Little Toaster,"[""Thomas M. Disch""]",4.04,384,5700,5700,"Jun 19, 1987",The Brave Little Toaster,2300000,0,$0,5601,"The Brave Little Toaster,1987"
503,"Bridge to Terabithia (1977), Katherine Paterson",Bridge to Terabithia (2007),Bridge to Terabithia,2007,"Bridge to Terabithia,2007",tt0398808,Bridge to Terabithia,Bridge to Terabithia,0,2007,96,"Drama,Family,Fantasy",7.2,186258,Bridge to Terabithia,Bridge to Terabithia,Katherine Paterson,"Bridge to Terabithia,Katherine Paterson",Bridge to Terabithia,"[""Katherine Paterson""]",4.05,551107,2567,2567,"Feb 16, 2007",Bridge to Terabithia,25000000,82234139,"$137,984,788",2501,"Bridge to Terabithia,2007"
505,"The Bridges of Madison County (a. k. a. Love in Black and White) (1992), Robert James Waller",The Bridges of Madison County (1995),The Bridges of Madison County,1995,"The Bridges of Madison County,1995",tt0112579,The Bridges of Madison County,The Bridges of Madison County,0,1995,135,"Drama,Romance",7.6,94607,The Bridges of Madison County,The Bridges of Madison County,Robert James Waller,"The Bridges of Madison County,Robert James Waller",The Bridges of Madison County,"[""Robert James Waller""]",3.69,98119,2836,2836,"Jun 2, 1995",The Bridges of Madison County,22000000,71516617,"$175,516,617",2801,"The Bridges of Madison County,1995"
509,"Bright Lights, Big City (1984), Jay McInerney","Bright Lights, Big City (1988)","Bright Lights, Big City",1988,"Bright Lights, Big City,1988",tt0094799,"Bright Lights, Big City","Bright Lights, Big City",0,1988,107,Drama,5.7,9513,"Bright Lights, Big City","Bright Lights, Big City",Jay McInerney,"Bright Lights, Big City,Jay McInerney","Bright Lights, Big City","[""Jay McInerney""]",3.8,34194,2667,2667,"Apr 1, 1988","Bright Lights, Big City",25000000,16118077,"$16,118,077",2601,"Bright Lights, Big City,1988"
549,"The Call of the Wild (1903), Jack London",The Call of the Wild (2020),The Call of the Wild,2020,"The Call of the Wild,2020",tt7504726,The Call of the Wild,The Call of the Wild,0,2020,100,"Adventure,Drama,Family",6.7,62365,The Call of the Wild,The Call of the Wild,Jack London,"The Call of the Wild,Jack London",The Call of the Wild,"[""Jack London""]",3.9,434756,378,378,"Jan 3, 2020",The Call of the Wild,125000000,62342368,"$107,351,191",301,"The Call of the Wild,2020"
549,"The Call of the Wild (1903), Jack London",The Call of the Wild (2020),The Call of the Wild,2020,"The Call of the Wild,2020",tt7504726,The Call of the Wild,The Call of the Wild,0,2020,100,"Adventure,Drama,Family",6.7,62365,The Call of the Wild,The Call of the Wild,Jack London,"The Call of the Wild,Jack London",The Call of the Wild,"[""Jack London""]",3.9,434756,378,378,"Jan 3, 2020",The Call of the Wild,125000000,62342368,"$107,351,191",301,"The Call of the Wild,2020"
549,"The Call of the Wild (1903), Jack London",The Call of the Wild (2020),The Call of the Wild,2020,"The Call of the Wild,2020",tt7504726,The Call of the Wild,The Call of the Wild,0,2020,100,"Adventure,Drama,Family",6.7,62365,The Call of the Wild,The Call of the Wild,Jack London,"The Call of the Wild,Jack London",The Call of the Wild,"[""Jack London""]",3.9,434756,378,378,"Jan 3, 2020",The Call of the Wild,125000000,62342368,"$107,351,191",301,"The Call of the Wild,2020"
569,"Carrie (1974), Stephen King",Carrie (1976),Carrie,1976,"Carrie,1976",tt0074285,Carrie,Carrie,0,1976,98,Horror,7.4,222340,Carrie,Carrie,Stephen King,"Carrie,Stephen King",Carrie,"[""Stephen King""]",3.99,733774,5867,5867,"Nov 16, 1976",Carrie,1800000,25878153,"$25,944,555",5801,"Carrie,1976"
572,"Carrie (1974), Stephen King",Carrie (2013),Carrie,2013,"Carrie,2013",tt1939659,Carrie,Carrie,0,2013,100,"Drama,Horror,Thriller",5.8,153943,Carrie,Carrie,Stephen King,"Carrie,Stephen King",Carrie,"[""Stephen King""]",3.99,733774,2275,2275,"Oct 18, 2013",Carrie,30000000,35266619,"$82,409,520",2201,"Carrie,2013"
576,"Casino Royale (1953), Ian Fleming",Casino Royale (1967),Casino Royale,1967,"Casino Royale,1967",tt0061452,Casino Royale,Casino Royale,0,1967,131,Comedy,5,34247,Casino Royale,Casino Royale,Ian Fleming,"Casino Royale,Ian Fleming",Casino Royale,"[""Ian Fleming""]",3.74,86106,3943,3943,"Apr 28, 1967",Casino Royale,12000000,22744718,"$41,744,718",3901,"Casino Royale,1967"
577,"Casino Royale (1953), Ian Fleming",Casino Royale (2006),Casino Royale,2006,"Casino Royale,2006",tt0381061,Casino Royale,Casino Royale,0,2006,144,"Action,Adventure,Thriller",8,727789,Casino Royale,Casino Royale,Ian Fleming,"Casino Royale,Ian Fleming",Casino Royale,"[""Ian Fleming""]",3.74,86106,476,476,"Nov 17, 2006",Casino Royale,102000000,167365000,"$594,420,216",401,"Casino Royale,2006"
584,"Catch-22 (1961), Joseph Heller",Catch-22 (1970),Catch-22,1970,"Catch-22,1970",tt0065528,Catch-22,Catch-22,0,1970,122,"Comedy,Drama,War",7.1,27837,Catch-22,Catch-22,Joseph Heller,"Catch-22,Joseph Heller",Catch-22,"[""Joseph Heller""]",3.99,836084,3275,3275,"Jun 24, 1970",Catch-22,18000000,24911670,"$24,911,670",3201,"Catch-22,1970"
586,"The Caveman's Valentine (1994), George Dawes Green",The Caveman's Valentine (2001),The Caveman's Valentine,2001,"The Caveman's Valentine,2001",tt0182000,The Caveman's Valentine,The Caveman's Valentine,0,2001,105,"Crime,Drama,Music",5.8,8274,The Caveman's Valentine,The Caveman's Valentine,George Dawes Green,"The Caveman's Valentine,George Dawes Green",The Caveman's Valentine,"[""George Dawes Green""]",3.76,879,3787,3787,"Mar 2, 2001",The Caveman's Valentine,13500000,687081,"$892,506",3701,"The Caveman's Valentine,2001"
613,"Chocolat (1999), Joanne Harris",Chocolat (2000),Chocolat,2000,"Chocolat,2000",tt0241303,Chocolat,Chocolat,0,2000,121,"Drama,Romance",7.2,208226,Chocolat,Chocolat,Joanne Harris,"Chocolat,Joanne Harris",Chocolat,"[""Joanne Harris""]",3.96,126307,2577,2577,"Dec 15, 2000",Chocolat,25000000,71309760,"$152,500,343",2501,"Chocolat,2000"
636,"The City of Ember (2003), Jeanne DuPrau",City of Ember (2008),City of Ember,2008,"City of Ember,2008",tt0970411,City of Ember,City of Ember,0,2008,90,"Adventure,Drama,Family",6.4,72150,City of Ember,The City of Ember,Jeanne DuPrau,"The City of Ember,Jeanne DuPrau",The City of Ember,"[""Jeanne DuPrau""]",3.89,283782,1902,1902,"Oct 10, 2008",City of Ember,38000000,7873007,"$17,831,558",1901,"City of Ember,2008"
644,"Clear and Present Danger (1989), Tom Clancy",Clear and Present Danger (1994),Clear and Present Danger,1994,"Clear and Present Danger,1994",tt0109444,Clear and Present Danger,Clear and Present Danger,0,1994,141,"Action,Crime,Drama",6.9,114087,Clear and Present Danger,Clear and Present Danger,Tom Clancy,"Clear and Present Danger,Tom Clancy",Clear and Present Danger,"[""Tom Clancy""]",4.14,139726,1046,1046,"Aug 3, 1994",Clear and Present Danger,62000000,122012656,"$207,500,000",1001,"Clear and Present Danger,1994"
645,"The Client (1993), John Grisham",The Client (1994),The Client,1994,"The Client,1994",tt0109446,The Client,The Client,0,1994,119,"Crime,Drama,Mystery",6.7,81062,The Client,The Client,John Grisham,"The Client,John Grisham",The Client,"[""John Grisham""]",4.05,447225,1531,1531,"Jul 20, 1994",The Client,45000000,92115211,"$117,615,211",1501,"The Client,1994"
658,"Cold Mountain (1997), Charles Frazier",Cold Mountain (2003),Cold Mountain,2003,"Cold Mountain,2003",tt0159365,Cold Mountain,Cold Mountain,0,2003,154,"Adventure,Drama,Romance",7.2,162122,Cold Mountain,Cold Mountain,Charles Frazier,"Cold Mountain,Charles Frazier",Cold Mountain,"[""Charles Frazier""]",3.88,243654,730,730,"Dec 25, 2003",Cold Mountain,80000000,95632614,"$165,173,909",701,"Cold Mountain,2003"
