movie_match,...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,book_year_str,book_year,book_movie_years,ROI
"Sphere,1998",2982,"Sphere (1987), Michael Crichton",Sphere (1998),Sphere,1998,"Sphere,1998",tt0120184,Sphere,Sphere,0,1998,134,"Mystery,Sci-Fi,Thriller",Mystery,Sci-Fi,Thriller,6.1,117013,Sphere,Sphere,Michael Crichton,"Sphere,Michael Crichton",Sphere,"[""Michael Crichton""]",3.83,187195,NA,NA,NA,NA,NA,NA,NA,870,870,"Feb 13, 1998",Sphere,73000000,37068294,50168294,801,1987,1987,11,-0.31276309589041096
"Stardust,2007",3003,"Stardust (1999), Neil Gaiman",Stardust (2007),Stardust,2007,"Stardust,2007",tt0486655,Stardust,Stardust,0,2007,127,"Adventure,Fantasy,Romance",Adventure,Fantasy,Romance,7.6,295058,Stardust,Stardust,Neil Gaiman,"Stardust,Neil Gaiman",Stardust,"[""Neil Gaiman""]",4.1,460378,NA,NA,NA,NA,NA,NA,NA,926,926,"Aug 10, 2007",Stardust,70000000,38634938,137022245,901,1999,1999,8,0.9574606428571428
"Starship Troopers,1997",3007,"Starship Troopers (1959), Robert A. Heinlein",Starship Troopers (1997),Starship Troopers,1997,"Starship Troopers,1997",tt0120201,Starship Troopers,Starship Troopers,0,1997,129,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,7.3,339849,Starship Troopers,Starship Troopers,Robert A. Heinlein,"Starship Troopers,Robert A. Heinlein",Starship Troopers,"[""Robert A. Heinlein""]",4.01,230212,NA,NA,NA,NA,NA,NA,NA,468,468,"Nov 7, 1997",Starship Troopers,105000000,54768952,121099956,401,1959,1959,38,0.15333291428571427
"Stir of Echoes,1999",3021,"A Stir of Echoes (1958), Richard Matheson",Stir of Echoes (1999),Stir of Echoes,1999,"Stir of Echoes,1999",tt0164181,Stir of Echoes,Stir of Echoes,0,1999,99,"Horror,Mystery,Thriller",Horror,Mystery,Thriller,6.9,91910,Stir of Echoes,A Stir of Echoes,Richard Matheson,"A Stir of Echoes,Richard Matheson",A Stir of Echoes,"[""Richard Matheson""]",3.86,14288,NA,NA,NA,NA,NA,NA,NA,3950,3950,"Sep 10, 1999",Stir of Echoes,12000000,21133087,23059379,3901,1958,1958,41,0.9216149166666666
"Strangers on a Train,1951",3032,"Strangers on a Train (1950), Patricia Highsmith",Strangers on a Train (1951),Strangers on a Train,1951,"Strangers on a Train,1951",tt0044079,Strangers on a Train,Strangers on a Train,0,1951,101,"Crime,Drama,Film-Noir",Crime,Drama,Film-Noir,7.9,147103,Strangers on a Train,Strangers on a Train,Patricia Highsmith,"Strangers on a Train,Patricia Highsmith",Strangers on a Train,"[""Patricia Highsmith""]",3.73,32738,NA,NA,NA,NA,NA,NA,NA,6031,6031,"Jul 3, 1951",Strangers on a Train,1200000,7000000,7022657,6001,1950,1950,1,4.852214166666666
"Straw Dogs,2011",2930,"The Siege of Trencher's Farm (1969), Gordon Williams",Straw Dogs (2011),Straw Dogs,2011,"Straw Dogs,2011",tt0999913,Straw Dogs,Straw Dogs,0,2011,110,"Action,Drama,Thriller",Action,Drama,Thriller,5.8,37330,Straw Dogs,The Siege of Trencher's Farm,Gordon Williams,"The Siege of Trencher's Farm,Gordon Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2694,2694,"Sep 16, 2011",Straw Dogs,25000000,10324441,11253821,2601,1969,1969,42,-0.54984716
"Striptease,1996",3036,"Strip Tease (1993), Carl Hiaasen",Striptease (1996),Striptease,1996,"Striptease,1996",tt0117765,Striptease,Striptease,0,1996,115,"Comedy,Crime,Drama",Comedy,Crime,Drama,4.6,50696,Striptease,Strip Tease,Carl Hiaasen,"Strip Tease,Carl Hiaasen",Strip Tease,"[""Carl Hiaasen""]",3.87,16380,NA,NA,NA,NA,NA,NA,NA,1410,1410,"Jun 28, 1996",Striptease,50000000,33109743,113309743,1401,1993,1993,3,1.26619486
"Taps,1981",1172,"Father Sky (1979), Devery Freeman",Taps (1981),Taps,1981,"Taps,1981",tt0083169,Taps,Taps,0,1981,126,Drama,Drama,NA,NA,6.8,21554,Taps,Father Sky,Devery Freeman,"Father Sky,Devery Freeman",Father Sky,"[""Devery Freeman""]",3,NA,NA,NA,NA,NA,NA,NA,NA,3726,3726,"Dec 9, 1981",Taps,14000000,35856053,35856053,3701,1979,1979,2,1.5611466428571428
"Tarzan,1999",3123,"Tarzan (1912–1965) (series)[N 7], Edgar Rice Burroughs",Tarzan (1999),Tarzan,1999,"Tarzan,1999",tt0120855,Tarzan,Tarzan,0,1999,88,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,7.3,263351,Tarzan,Tarzan,"Tarzan (1912–1965) (series)[N 7], Edgar Rice Burroughs","Tarzan,Tarzan (1912–1965) (series)[N 7], Edgar Rice Burroughs",NA,NA,3.9,45336,322,"$448,192,603","$171,091,819",38.2%,"$277,100,784",61.8%,1999,291,291,"Jun 16, 1999",Tarzan,145000000,171091819,448191819,201,1912,1912,87,2.0909780620689653
"The 13th Warrior,1999",1074,"Eaters of the Dead (1976), Michael Crichton",The 13th Warrior (1999),The 13th Warrior,1999,"The 13th Warrior,1999",tt0120657,The 13th Warrior,The 13th Warrior,0,1999,102,"Action,Adventure,History",Action,Adventure,History,6.6,137317,The 13th Warrior,Eaters of the Dead,Michael Crichton,"Eaters of the Dead,Michael Crichton",Eaters of the Dead,"[""Michael Crichton""]",3.7,42748,NA,NA,NA,NA,NA,NA,NA,383,383,"Aug 27, 1999",The 13th Warrior,125000000,32698899,61698899,301,1976,1976,23,-0.506408808
