movie_match,...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,book_year_str,book_year,book_movie_years,ROI
"Quest for Camelot,1998",1897,"The King's Damosel (1976), Vera Chapman",Quest for Camelot (1998),Quest for Camelot,1998,"Quest for Camelot,1998",tt0120800,Quest for Camelot,Quest for Camelot,0,1998,86,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,6.3,19224,Quest for Camelot,The King's Damosel,Vera Chapman,"The King's Damosel,Vera Chapman",The King's Damosel,"[""Vera Chapman""]",3.48,273,NA,NA,NA,NA,NA,NA,NA,1791,1791,"May 15, 1998",Quest for Camelot,40000000,22772500,38172500,1701,1976,1976,22,-0.0456875
"Race to Witch Mountain,2009",1115,"Escape to Witch Mountain (1968), Alexander Key",Race to Witch Mountain (2009),Race to Witch Mountain,2009,"Race to Witch Mountain,2009",tt1075417,Race to Witch Mountain,Race to Witch Mountain,0,2009,98,"Action,Adventure,Family",Action,Adventure,Family,5.7,65430,Race to Witch Mountain,Escape to Witch Mountain,Alexander Key,"Escape to Witch Mountain,Alexander Key",Escape to Witch Mountain,"[""Alexander Key""]",3.9,3565,NA,NA,NA,NA,NA,NA,NA,1366,1366,"Mar 13, 2009",Race to Witch Mountain,50000000,67172595,105103784,1301,1968,1968,41,1.10207568
"Raise the Titanic,1980",2679,"Raise the Titanic! (1976), Clive Cussler",Raise the Titanic (1980),Raise the Titanic,1980,"Raise the Titanic,1980",tt0081400,Raise the Titanic,Raise the Titanic,0,1980,115,"Action,Adventure,Drama",Action,Adventure,Drama,5.2,5991,Raise the Titanic,Raise the Titanic!,Clive Cussler,"Raise the Titanic!,Clive Cussler",Raise the Titanic!,"[""Clive Cussler""]",3.99,28545,NA,NA,NA,NA,NA,NA,NA,1828,1828,"Aug 1, 1980",Raise the Titanic,40000000,7000000,7000000,1801,1976,1976,4,-0.825
"Rambo III,1988",1198,"First Blood (1972), David Morrell",Rambo III (1988),Rambo III,1988,"Rambo III,1988",tt0095956,Rambo III,Rambo III,0,1988,102,"Action,Adventure,Thriller",Action,Adventure,Thriller,5.8,146988,Rambo III,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,NA,NA,NA,NA,NA,NA,NA,1192,1192,"May 25, 1988",Rambo III,58000000,53715611,188715611,1101,1972,1972,16,2.2537174310344827
"Rambo,2008",1199,"First Blood (1972), David Morrell",Rambo (2008),Rambo,2008,"Rambo,2008",tt0462499,Rambo,Rambo,0,2008,92,"Action,Thriller",Action,Thriller,NA,7,253526,Rambo,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,NA,NA,NA,NA,NA,NA,NA,1496,1496,"Jan 25, 2008",Rambo,47500000,42754105,113244290,1401,1972,1972,36,1.3840903157894737
"Rambo: First Blood Part II,1985",1197,"First Blood (1972), David Morrell",Rambo: First Blood Part II (1985),Rambo: First Blood Part II,1985,"Rambo: First Blood Part II,1985",tt0089880,Rambo: First Blood Part II,Rambo: First Blood Part II,0,1985,96,"Action,Adventure,Thriller",Action,Adventure,Thriller,6.5,192384,Rambo: First Blood Part II,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,591,"$300,400,432","$150,415,432",50.1%,"$149,985,000",49.9%,1985,1613,1613,"May 22, 1985",Rambo: First Blood Part II,44000000,150415432,300400000,1601,1972,1972,13,5.827272727272727
"Rambo: Last Blood,2019",1200,"First Blood (1972), David Morrell",Rambo: Last Blood (2019),Rambo: Last Blood,2019,"Rambo: Last Blood,2019",tt1206885,Rambo: Last Blood,Rambo: Last Blood,0,2019,89,"Action,Crime,Thriller",Action,Crime,Thriller,6.1,117158,Rambo: Last Blood,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,NA,NA,NA,NA,NA,NA,NA,1392,1392,"Sep 19, 2019",Rambo: Last Blood,50000000,44819352,91378886,1301,1972,1972,47,0.82757772
"Random Hearts,1999",2681,"Random Hearts (1984), Warren Adler",Random Hearts (1999),Random Hearts,1999,"Random Hearts,1999",tt0156934,Random Hearts,Random Hearts,0,1999,133,"Drama,Mystery,Romance",Drama,Mystery,Romance,5.4,25031,Random Hearts,Random Hearts,Warren Adler,"Random Hearts,Warren Adler",Random Hearts,"[""Warren Adler""]",3.33,335,NA,NA,NA,NA,NA,NA,NA,1039,1039,"Oct 8, 1999",Random Hearts,64000000,31054924,63200000,1001,1984,1984,15,-0.0125
"Ready Player One,2018",2689,"Ready Player One (2011), Ernest Cline",Ready Player One (2018),Ready Player One,2018,"Ready Player One,2018",tt1677720,Ready Player One,Ready Player One,0,2018,140,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,7.4,527912,Ready Player One,Ready Player One,Ernest Cline,"Ready Player One,Ernest Cline",Ready Player One,"[""Ernest Cline""]",4.23,1183295,198,"$607,874,422","$137,715,350",22.7%,"$470,159,072",77.3%,2018,258,258,"Mar 20, 2018",Ready Player One,150000000,137690172,583490172,201,2011,2011,7,2.88993448
"Rebecca,1940",2690,"Rebecca (1938), Daphne du Maurier",Rebecca (1940),Rebecca,1940,"Rebecca,1940",tt0032976,Rebecca,Rebecca,0,1940,130,"Drama,Mystery,Romance",Drama,Mystery,Romance,8.1,160608,Rebecca,Rebecca,Daphne du Maurier,"Rebecca,Daphne du Maurier",Rebecca,"[""Daphne du Maurier""]",4.24,637215,NA,NA,NA,NA,NA,NA,NA,6013,6013,"Mar 21, 1940",Rebecca,1288000,6000000,6003870,6001,1938,1938,2,3.661389751552795
"Red Dragon,2002",2695,"Red Dragon (1981), Thomas Harris",Red Dragon (2002),Red Dragon,2002,"Red Dragon,2002",tt0289765,Red Dragon,Red Dragon,0,2002,124,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.2,306724,Red Dragon,Red Dragon,Thomas Harris,"Red Dragon,Thomas Harris",NA,NA,4.06,337056,910,"$209,196,298","$93,149,898",44.5%,"$116,046,400",55.5%,2002,792,792,"Oct 4, 2002",Red Dragon,78000000,92955420,206455420,701,1981,1981,21,1.646864358974359
"Return to the Blue Lagoon,1991",1361,"The Garden of God (1923), Henry De Vere Stacpoole",Return to the Blue Lagoon (1991),Return to the Blue Lagoon,1991,"Return to the Blue Lagoon,1991",tt0102782,Return to the Blue Lagoon,Return to the Blue Lagoon,0,1991,102,"Adventure,Drama,Romance",Adventure,Drama,Romance,5.2,22845,Return to the Blue Lagoon,The Garden of God,Henry De Vere Stacpoole,"The Garden of God,Henry De Vere Stacpoole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092,4092,1991,Return to the Blue Lagoon,11000000,2000000,2000000,4001,1923,1923,68,-0.8181818181818182
"Revolutionary Road,2008",2725,"Revolutionary Road (1961), Richard Yates",Revolutionary Road (2008),Revolutionary Road,2008,"Revolutionary Road,2008",tt0959337,Revolutionary Road,Revolutionary Road,0,2008,119,"Drama,Romance",Drama,Romance,NA,7.3,232489,Revolutionary Road,Revolutionary Road,Richard Yates,"Revolutionary Road,Richard Yates",Revolutionary Road,"[""Richard Yates""]",3.92,88827,NA,NA,NA,NA,NA,NA,NA,1577,1577,"Dec 26, 2008",Revolutionary Road,45000000,22951340,79604820,1501,1961,1961,47,0.768996
