"X1","X2"
"The Army of Shadows (French: L'Armée des ombres) (1943), Joseph Kessel","Army of Shadows (French: L'Armée des ombres) (1969)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt (1913)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","'Round the World in 80 Days (1914)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in Eighty Days (1919)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in 80 Days (1956)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","The Three Stooges Go Around the World in a Daze (1963)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in Eighty Days (1972; Australian)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in Eighty Days (1972; Canadian)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in 80 Ways (1988)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in 80 Days (1988)[N 4]"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in 80 Days (German: Reise um die Erde in 80 Tagen) (1998)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Tweety's High-Flying Adventure (2000)[N 4]"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Globehunters: An Around the World in 80 Days Adventure (2002)[N 1]"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in 80 Days (2004)"
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne","Around the World in 80 Days (2021)"
"Arouse and Beware (1936), MacKinlay Kantor","The Man from Dakota (1940)"
"Arrowsmith (1925), Sinclair Lewis","Arrowsmith (1931)"
"Ashes and Diamonds (Polish: Popiół i diament) (1948), Jerzy Andrzejewski","Ashes and Diamonds (1958)"
"Ask the Dust (1939), John Fante","Ask the Dust (2006)"
"Asking for Trouble (2001), Elizabeth Young","The Wedding Date (2005)"
"The Asphalt Jungle (1949), W. R. Burnett","The Asphalt Jungle (1950)"
"The Asphalt Jungle (1949), W. R. Burnett","The Badlanders (1959)"
"The Assassination Bureau, Ltd (1963), Jack London","The Assassination Bureau (1969)"
"The Assassination of Jesse James by the Coward Robert Ford (1983), Ron Hansen","The Assassination of Jesse James by the Coward Robert Ford (2007)"
"The Assault (Dutch: De Aanslag) (1982), Harry Mulisch","The Assault (1986)"
"L'Assommoir (1877), Émile Zola","Gervaise (1956)"
"The Astronauts (Polish: Astronauci) (1951), Stanisław Lem","First Spaceship on Venus (1960)"
"Asylum (1996), Patrick McGrath","Asylum (2005)"
"At Play in the Fields of the Lord (1965), Peter Matthiessen","At Play in the Fields of the Lord (1991)"
