...1,Book,Movie,movie_titleWiki,movie_year,movie_match,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,BookTitle,BookAuthor,BookMatch,name,author,star_rating,num_ratings
53,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi","Pinocchio, ovvero lo spettacolo della Provvidenza (1999)[N 1]","Pinocchio, ovvero lo spettacolo della Provvidenza",1999,"Pinocchio, ovvero lo spettacolo della Provvidenza,1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
54,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Geppetto (2000)[N 1],Geppetto,2000,"Geppetto,2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
55,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (2002),Pinocchio,2002,"Pinocchio,2002",tt0255477,movie,Pinocchio,Pinocchio,0,2002,\N,108,"Comedy,Family,Fantasy",4.3,8843,Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
56,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio 3000 (2004),Pinocchio 3000,2004,"Pinocchio 3000,2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
57,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Welcome Back Pinocchio (Italian: Bentornato Pinocchio) (2007),Welcome Back Pinocchio,2007,"Welcome Back Pinocchio,2007",tt1534332,movie,Welcome Back Pinocchio,Bentornato Pinocchio,0,2007,\N,91,"Animation,Family,Fantasy",5.3,75,Bentornato Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
58,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (2008),Pinocchio,2008,"Pinocchio,2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
59,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pistachio – The Little Boy That Woodn't (2010),Pistachio – The Little Boy That Woodn't,2010,"Pistachio – The Little Boy That Woodn't,2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
60,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (2012),Pinocchio,2012,"Pinocchio,2012",tt1693039,movie,Pinocchio,Pinocchio,0,2012,\N,75,"Adventure,Animation,Family",6,405,Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
61,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (2019),Pinocchio,2019,"Pinocchio,2019",tt8333746,movie,Pinocchio,Pinocchio,0,2019,\N,125,"Drama,Family,Fantasy",6.3,15586,Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
62,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio: A True Story (2022),Pinocchio: A True Story,2022,"Pinocchio: A True Story,2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
