Book,Movie,wikiMovieYear,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,wikiBookAuthor,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,release_date,production_budget,domestic_gross,worldwide_gross,book_year,book_movie_years,ROI,name_match,contains_series
"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",Ben-Hur (1959),1959,0,1959,212,"Adventure,Drama",Adventure,Drama,NA,8.1,266832,Lew Wallace,Ben-Hur: A Tale of the Christ,"[""Lew Wallace""]",4.03,36264,NA,NA,NA,NA,NA,NA,NA,"Nov 18, 1959",15000000,73000000,73226628,1880,79,3.8817752,FALSE,FALSE
"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",Ben-Hur (2016),2016,0,2016,123,"Action,Adventure,Drama",Action,Adventure,Drama,5.7,48880,Lew Wallace,Ben-Hur: A Tale of the Christ,"[""Lew Wallace""]",4.03,36264,NA,NA,NA,NA,NA,NA,NA,"Jun 30, 2016",95000000,26410477,91669648,1880,136,-0.03505633684210526,FALSE,FALSE
"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",Beneath the Planet of the Apes (1970),1970,0,1970,95,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6,56692,Pierre Boulle,Planet of the Apes,"[""Pierre Boulle""]",3.98,43239,NA,NA,NA,NA,NA,NA,NA,"May 26, 1970",3000000,17489009,17489009,1963,7,4.829669666666667,FALSE,FALSE
"Beowulf (c. 700–1000 AD), unknown",Beowulf (2007),2007,0,2007,115,"Action,Adventure,Animation",Action,Adventure,Animation,6.3,178427,unknown,NA,NA,NA,NA,981,"$196,393,745","$82,280,579",41.9%,"$114,113,166",58.1%,2007,"Nov 16, 2007",150000000,82280579,195080579,1000,1007,0.30053719333333334,TRUE,FALSE
"The Positronic Man (1993), Isaac Asimov and Robert Silverberg",Bicentennial Man (1999),1999,0,1999,132,"Drama,Romance,Sci-Fi",Drama,Romance,Sci-Fi,6.9,129998,Isaac Asimov and Robert Silverberg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 17, 1999",90000000,58220776,87420776,1993,6,-0.028658044444444444,FALSE,FALSE
"Big Fish: A Novel of Mythic Proportions (1998), Daniel Wallace",Big Fish (2003),2003,0,2003,125,"Adventure,Drama,Fantasy",Adventure,Drama,Fantasy,8,473513,Daniel Wallace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 10, 2003",70000000,66432867,123923215,1998,5,0.7703316428571428,FALSE,FALSE
"Big Trouble (1999), Dave Barry",Big Trouble (2002),2002,0,2002,85,"Comedy,Crime,Thriller",Comedy,Crime,Thriller,6.4,22623,Dave Barry,Big Trouble,"[""Dave Barry""]",3.84,15158,NA,NA,NA,NA,NA,NA,NA,"Apr 5, 2002",45000000,7262288,8488871,1999,3,-0.8113584222222222,TRUE,FALSE
"A Connecticut Yankee in King Arthur's Court (1889), Mark Twain",Black Knight (2001),2001,0,2001,95,"Adventure,Comedy,Fantasy",Adventure,Comedy,Fantasy,5,45334,Mark Twain,A Connecticut Yankee in King Arthur's Court,"[""Mark Twain""]",3.77,103971,NA,NA,NA,NA,NA,NA,NA,"Nov 21, 2001",35000000,33422806,33422806,1889,112,-0.04506268571428571,FALSE,FALSE
"Black Rain (黒い雨, Kuroi Ame) (1965), Masuji Ibuse",Black Rain (1989),1989,0,1989,125,"Action,Crime,Drama",Action,Crime,Drama,6.6,63040,Masuji Ibuse,Black Rain,"[""Masuji Ibuse""]",3.99,4171,NA,NA,NA,NA,NA,NA,NA,"Sep 22, 1989",30000000,45892212,133892212,1965,24,3.4630737333333332,TRUE,FALSE
"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick",Blade Runner 2049 (2017),2017,0,2017,164,"Action,Drama,Mystery",Action,Drama,Mystery,8,730378,Philip K. Dick,Do Androids Dream of Electric Sheep?,"[""Philip K. Dick""]",4.09,457875,642,"$277,937,605","$92,071,675",33.1%,"$185,865,930",66.9%,2017,"Sep 29, 2017",185000000,92054159,259154159,1967,50,0.4008332918918919,FALSE,FALSE
