...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
243,"The Assassination Bureau, Ltd (1963), Jack London",The Assassination Bureau (1969),The Assassination Bureau,1969,"The Assassination Bureau,1969",tt0064045,The Assassination Bureau,The Assassination Bureau,0,1969,110,"Action,Adventure,Comedy",6.4,3947,The Assassination Bureau,"The Assassination Bureau, Ltd",Jack London,"The Assassination Bureau, Ltd,Jack London",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,"The Assassination of Jesse James by the Coward Robert Ford (1983), Ron Hansen",The Assassination of Jesse James by the Coward Robert Ford (2007),The Assassination of Jesse James by the Coward Robert Ford,2007,"The Assassination of Jesse James by the Coward Robert Ford,2007",tt0443680,The Assassination of Jesse James by the Coward Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,0,2007,160,"Biography,Crime,Drama",7.5,200799,The Assassination of Jesse James by the Coward Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,"The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen",The Assassination of Jesse James by the Coward Robert Ford,"[""Ron Hansen""]",3.9,3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,"The Assault (Dutch: De Aanslag) (1982), Harry Mulisch",The Assault (1986),The Assault,1986,"The Assault,1986",tt0090576,The Assault,De aanslag,0,1986,144,"Drama,History,Romance",7.2,3580,De aanslag,The Assault,Harry Mulisch,"The Assault,Harry Mulisch",The Assault,"[""Harry Mulisch""]",3.73,17260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"L'Assommoir (1877), Émile Zola",Gervaise (1956),Gervaise,1956,"Gervaise,1956",tt0049259,Gervaise,Gervaise,0,1956,116,Drama,7.4,1767,Gervaise,L'Assommoir,Émile Zola,"L'Assommoir,Émile Zola",L'Assommoir,"[""Émile Zola""]",4.08,17053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,"The Astronauts (Polish: Astronauci) (1951), Stanisław Lem",First Spaceship on Venus (1960),First Spaceship on Venus,1960,"First Spaceship on Venus,1960",tt0053250,First Spaceship on Venus,Der schweigende Stern,0,1960,79,Sci-Fi,4.7,3463,Der schweigende Stern,The Astronauts,Stanisław Lem,"The Astronauts,Stanisław Lem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,"Asylum (1996), Patrick McGrath",Asylum (2005),Asylum,2005,"Asylum,2005",tt0348505,Asylum,Asylum,0,2005,99,"Drama,Romance,Thriller",6.1,5665,Asylum,Asylum,Patrick McGrath,"Asylum,Patrick McGrath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,"At Play in the Fields of the Lord (1965), Peter Matthiessen",At Play in the Fields of the Lord (1991),At Play in the Fields of the Lord,1991,"At Play in the Fields of the Lord,1991",tt0101373,At Play in the Fields of the Lord,At Play in the Fields of the Lord,0,1991,189,"Drama,Romance",6.8,3687,At Play in the Fields of the Lord,At Play in the Fields of the Lord,Peter Matthiessen,"At Play in the Fields of the Lord,Peter Matthiessen",At Play in the Fields of the Lord,"[""Peter Matthiessen""]",4.02,3134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,"At the Earth's Core (serialised 1914, published 1922), Edgar Rice Burroughs",At the Earth's Core (1976),At the Earth's Core,1976,"At the Earth's Core,1976",tt0074157,At the Earth's Core,At the Earth's Core,0,1976,89,"Adventure,Fantasy,Sci-Fi",5.1,5950,At the Earth's Core,At the Earth's Core,Edgar Rice Burroughs,"At the Earth's Core,Edgar Rice Burroughs",At the Earth's Core,"[""Edgar Rice Burroughs""]",3.76,4684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,"At the Étoile du Nord (French: L'Étoile du Nord) (1854), Georges Simenon",L'Etoile du Nord (1982),L'Etoile du Nord,1982,"L'Etoile du Nord,1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At the Étoile du Nord,Georges Simenon,"At the Étoile du Nord,Georges Simenon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,"Atlantis (1912), Gerhart Hauptmann",Atlantis (1913),Atlantis,1913,"Atlantis,1913",tt0002646,Atlantis,Atlantis,0,1913,121,Drama,6.5,522,Atlantis,Atlantis,Gerhart Hauptmann,"Atlantis,Gerhart Hauptmann",Atlantis,"[""Gerhart Hauptmann""]",3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
