...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
2203,"Millennium (2005–2007) (series)[N 12], Stieg Larsson",The Girl with the Dragon Tattoo (2011),The Girl with the Dragon Tattoo,2011,"The Girl with the Dragon Tattoo,2011",tt1568346,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,0,2011,158,"Crime,Drama,Mystery",7.8,519980,The Girl with the Dragon Tattoo,Millennium,"Millennium (2005–2007) (series)[N 12], Stieg Larsson","Millennium,Millennium (2005–2007) (series)[N 12], Stieg Larsson",NA,NA,NA,NA,793,"$232,617,430","$102,515,793",44.1%,"$130,101,637",55.9%,2011,601,601,"Dec 20, 2011",The Girl with the Dragon Tattoo,90000000,102515793,"$239,373,970",601,"The Girl with the Dragon Tattoo,2011"
2204,"Mine-Haha, or On the Bodily Education of Young Girls (1903), Frank Wedekind",Innocence (2004),Innocence,2004,"Innocence,2004",tt0375233,Innocence,Innocence,0,2004,122,"Drama,Mystery",6.8,6846,Innocence,"Mine-Haha, or On the Bodily Education of Young Girls",Frank Wedekind,"Mine-Haha, or On the Bodily Education of Young Girls,Frank Wedekind","Mine-Haha, or On the Bodily Education of Young Girls","[""Frank Wedekind""]",3.48,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2205,"Mine-Haha, or On the Bodily Education of Young Girls (1903), Frank Wedekind",The Fine Art of Love: Mine Ha-Ha (2005),The Fine Art of Love: Mine Ha-Ha,2005,"The Fine Art of Love: Mine Ha-Ha,2005",tt0425186,The Fine Art of Love: Mine Ha-Ha,The Fine Art of Love: Mine Ha-Ha,0,2005,102,"Drama,Mystery",5.4,659,The Fine Art of Love: Mine Ha-Ha,"Mine-Haha, or On the Bodily Education of Young Girls",Frank Wedekind,"Mine-Haha, or On the Bodily Education of Young Girls,Frank Wedekind","Mine-Haha, or On the Bodily Education of Young Girls","[""Frank Wedekind""]",3.48,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2206,"The Mirage (Arabic: السراب, romanized: Al-Sarab) (1961), Naguib Mahfouz",The Mirage (1970),The Mirage,1970,"The Mirage,1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Mirage,Naguib Mahfouz,"The Mirage,Naguib Mahfouz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2207,"The Mirror Crack'd from Side to Side (1962), Agatha Christie",The Mirror Crack'd (1980),The Mirror Crack'd,1980,"The Mirror Crack'd,1980",tt0081163,The Mirror Crack'd,The Mirror Crack'd,0,1980,105,"Crime,Mystery,Thriller",6.2,10709,The Mirror Crack'd,The Mirror Crack'd from Side to Side,Agatha Christie,"The Mirror Crack'd from Side to Side,Agatha Christie",The Mirror Crack'd from Side to Side,"[""Agatha Christie""]",3.95,47872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2208,"The Mirror Crack'd from Side to Side (1962), Agatha Christie",Shubho Mahurat (Bengali: শুভ মহরৎ) (2003),Shubho Mahurat,2003,"Shubho Mahurat,2003",tt0368969,Shubho Mahurat,Shubho Mahurat,0,2003,150,"Crime,Mystery",7.7,659,Shubho Mahurat,The Mirror Crack'd from Side to Side,Agatha Christie,"The Mirror Crack'd from Side to Side,Agatha Christie",The Mirror Crack'd from Side to Side,"[""Agatha Christie""]",3.95,47872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2209,"Les Misérables (1862), Victor Hugo",On the Barricade (1907),On the Barricade,1907,"On the Barricade,1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2210,"Les Misérables (1862), Victor Hugo",Le Chemineau (1907),Le Chemineau,1907,"Le Chemineau,1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2211,"Les Misérables (1862), Victor Hugo",Les Misérables (1909),Les Misérables,1909,"Les Misérables,1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2212,"Les Misérables (1862), Victor Hugo",The Bishop's Candlesticks (1909),The Bishop's Candlesticks,1909,"The Bishop's Candlesticks,1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2213,"Les Misérables (1862), Victor Hugo",Les Misérables (1911),Les Misérables,1911,"Les Misérables,1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2214,"Les Misérables (1862), Victor Hugo",Les Misérables (1913),Les Misérables,1913,"Les Misérables,1913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2215,"Les Misérables (1862), Victor Hugo",The Bishop's Candlesticks (1913),The Bishop's Candlesticks,1913,"The Bishop's Candlesticks,1913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2216,"Les Misérables (1862), Victor Hugo",Les Misérables (1917),Les Misérables,1917,"Les Misérables,1917",tt0008305,Les Misérables,Les Misérables,0,1917,100,Drama,6.8,40,Les Misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2217,"Les Misérables (1862), Victor Hugo",Les Misérables (1922),Les Misérables,1922,"Les Misérables,1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2218,"Les Misérables (1862), Victor Hugo",Aa Mujou (1923),Aa Mujou,1923,"Aa Mujou,1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2219,"Les Misérables (1862), Victor Hugo",Les Misérables (1925),Les Misérables,1925,"Les Misérables,1925",tt0016112,Les Misérables,Les misérables,0,1925,359,Drama,7.4,103,Les misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2220,"Les Misérables (1862), Victor Hugo",The Bishop's Candlesticks (1929),The Bishop's Candlesticks,1929,"The Bishop's Candlesticks,1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2221,"Les Misérables (1862), Victor Hugo",Aa Mujou (1929),Aa Mujou,1929,"Aa Mujou,1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2222,"Les Misérables (1862), Victor Hugo",Jean Valjean (1931),Jean Valjean,1931,"Jean Valjean,1931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2223,"Les Misérables (1862), Victor Hugo",Les Misérables (1934),Les Misérables,1934,"Les Misérables,1934",tt0025509,Les Misérables,Les misérables,0,1934,281,Drama,8.3,2147,Les misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2224,"Les Misérables (1862), Victor Hugo",Les Misérables (1935),Les Misérables,1935,"Les Misérables,1935",tt0026725,Les Misérables,Les Misérables,0,1935,108,"Drama,History,Romance",7.6,4142,Les Misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2225,"Les Misérables (1862), Victor Hugo",Gavrosh (1937),Gavrosh,1937,"Gavrosh,1937",tt0175649,Gavrosh,Gavrosh,0,1937,75,Drama,6.2,47,Gavrosh,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2226,"Les Misérables (1862), Victor Hugo",Kyojinden (1938),Kyojinden,1938,"Kyojinden,1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2227,"Les Misérables (1862), Victor Hugo",Los Miserables (1943),Los Miserables,1943,"Los Miserables,1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2228,"Les Misérables (1862), Victor Hugo",El Boassa (1944),El Boassa,1944,"El Boassa,1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2229,"Les Misérables (1862), Victor Hugo",I Miserabili (1948)[N 13],I Miserabili,1948,"I Miserabili,1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2230,"Les Misérables (1862), Victor Hugo",Les Nouveaux Misérables (1949),Les Nouveaux Misérables,1949,"Les Nouveaux Misérables,1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2231,"Les Misérables (1862), Victor Hugo",Re mizeraburu: Kami to Akuma (Les Misérables: Gods and Demons) (1950),Re mizeraburu: Kami to Akuma,1950,"Re mizeraburu: Kami to Akuma,1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2232,"Les Misérables (1862), Victor Hugo",Ezhai Padum Padu (1950),Ezhai Padum Padu,1950,"Ezhai Padum Padu,1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2233,"Les Misérables (1862), Victor Hugo",Beedala Patlu (1950),Beedala Patlu,1950,"Beedala Patlu,1950",tt0259881,Beedala Patlu,Beedala Patlu,0,1950,194,\N,NA,NA,Beedala Patlu,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2234,"Les Misérables (1862), Victor Hugo",Les Misérables (1952),Les Misérables,1952,"Les Misérables,1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2235,"Les Misérables (1862), Victor Hugo",Kundan (1955),Kundan,1955,"Kundan,1955",tt0048271,Kundan,Kundan,0,1955,150,"Crime,Drama",7.3,27,Kundan,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2236,"Les Misérables (1862), Victor Hugo",Duppathage Duka (1956),Duppathage Duka,1956,"Duppathage Duka,1956",tt15083794,Duppathage Duka,Duppathage Duka,0,1956,\N,Drama,NA,NA,Duppathage Duka,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2237,"Les Misérables (1862), Victor Hugo",Sirakaruwa (1957),Sirakaruwa,1957,"Sirakaruwa,1957",tt15083894,Sirakaruwa,Sirakaruwa,0,1957,\N,Thriller,NA,NA,Sirakaruwa,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2238,"Les Misérables (1862), Victor Hugo",Les Misérables (1958),Les Misérables,1958,"Les Misérables,1958",tt0050709,Les Misérables,Les misérables,0,1958,210,Drama,7.4,1932,Les misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2239,"Les Misérables (1862), Victor Hugo",Os Miseráveis (1958),Os Miseráveis,1958,"Os Miseráveis,1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2240,"Les Misérables (1862), Victor Hugo",Jean Valjean (1961)[N 4],Jean Valjean,1961,"Jean Valjean,1961",tt0316059,Jean Valjean,Jean Valjean,0,1961,\N,Drama,NA,NA,Jean Valjean,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2241,"Les Misérables (1862), Victor Hugo",Cosette (1961)[N 4],Cosette,1961,"Cosette,1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2242,"Les Misérables (1862), Victor Hugo",Gavroche (1962)[N 4],Gavroche,1962,"Gavroche,1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2243,"Les Misérables (1862), Victor Hugo",Jean Valjean (1963)[N 4],Jean Valjean,1963,"Jean Valjean,1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2244,"Les Misérables (1862), Victor Hugo",Os Miseráveis (1967),Os Miseráveis,1967,"Os Miseráveis,1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2245,"Les Misérables (1862), Victor Hugo",Sefiller (1967),Sefiller,1967,"Sefiller,1967",tt0431383,Sefiller,Sefiller,0,1967,86,Drama,7.2,109,Sefiller,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2246,"Les Misérables (1862), Victor Hugo",Los Miserables (1973)[N 4],Los Miserables,1973,"Los Miserables,1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2247,"Les Misérables (1862), Victor Hugo",Les Misérables (1978)[N 4],Les Misérables,1978,"Les Misérables,1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2248,"Les Misérables (1862), Victor Hugo",Al Boasa (1978),Al Boasa,1978,"Al Boasa,1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2249,"Les Misérables (1862), Victor Hugo",Jean Valjean Monogatari (ジャン・バルジャン物語) (1979)[N 4],Jean Valjean Monogatari,1979,"Jean Valjean Monogatari,1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2250,"Les Misérables (1862), Victor Hugo",Les Misérables (1982)[N 4][N 14],Les Misérables,1982,"Les Misérables,1982",tt0084340,Les Misérables,Les misérables,0,1982,220,Drama,7.3,1144,Les misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2251,"Les Misérables (1862), Victor Hugo",Les Misérables (1988),Les Misérables,1988,"Les Misérables,1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2252,"Les Misérables (1862), Victor Hugo",Les Misérables (1995),Les Misérables,1995,"Les Misérables,1995",tt0113828,Les Misérables,Les misérables,0,1995,175,"Comedy,Drama,History",7.4,4333,Les misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2253,"Les Misérables (1862), Victor Hugo",Les Misérables: The Dream Cast in Concert (1995),Les Misérables: The Dream Cast in Concert,1995,"Les Misérables: The Dream Cast in Concert,1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2254,"Les Misérables (1862), Victor Hugo",Les Misérables (1998),Les Misérables,1998,"Les Misérables,1998",tt0119683,Les Misérables,Les Misérables,0,1998,134,"Crime,Drama,Romance",7.4,45100,Les Misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2255,"Les Misérables (1862), Victor Hugo",Les Misérables in Concert: The 25th Anniversary (2010),Les Misérables in Concert: The 25th Anniversary,2010,"Les Misérables in Concert: The 25th Anniversary,2010",tt1754109,Les Misérables in Concert: The 25th Anniversary,Les Misérables in Concert: The 25th Anniversary,0,2010,178,"Drama,Musical",8.8,6723,Les Misérables in Concert: The 25th Anniversary,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2256,"Les Misérables (1862), Victor Hugo",Les Misérables (2011)[N 4],Les Misérables,2011,"Les Misérables,2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2257,"Les Misérables (1862), Victor Hugo",Les Misérables (2012),Les Misérables,2012,"Les Misérables,2012",tt1707386,Les Misérables,Les Misérables,0,2012,158,"Drama,Musical,Romance",7.5,357719,Les Misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,329,"$442,757,529","$149,260,140",33.7%,"$293,497,389",66.3%,2012,987,987,"Dec 19, 2012",Les Misérables,65000000,149260140,"$435,292,452",901,"Les Misérables,2012"
2258,"Les Misérables (1862), Victor Hugo",Les Misérables (2019),Les Misérables,2019,"Les Misérables,2019",tt10199590,Les Misérables,Les misérables,0,2019,104,"Crime,Drama,Thriller",7.6,30001,Les misérables,Les Misérables,Victor Hugo,"Les Misérables,Victor Hugo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2259,"Misery (1987), Stephen King",Misery (1990),Misery,1990,"Misery,1990",tt0100157,Misery,Misery,0,1990,107,"Drama,Thriller",7.8,255469,Misery,Misery,Stephen King,"Misery,Stephen King",Misery,"[""Stephen King""]",4.22,709455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2260,"Miss Lonelyhearts (1933), Nathanael West",Advice to the Lovelorn (1933),Advice to the Lovelorn,1933,"Advice to the Lovelorn,1933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miss Lonelyhearts,Nathanael West,"Miss Lonelyhearts,Nathanael West",Miss Lonelyhearts,"[""Nathanael West""]",3.58,6262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2261,"Miss Lonelyhearts (1933), Nathanael West",Lonelyhearts (1958),Lonelyhearts,1958,"Lonelyhearts,1958",tt0053017,Lonelyhearts,Lonelyhearts,0,1958,100,Drama,6.6,1635,Lonelyhearts,Miss Lonelyhearts,Nathanael West,"Miss Lonelyhearts,Nathanael West",Miss Lonelyhearts,"[""Nathanael West""]",3.58,6262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2262,"Miss Lonelyhearts (1933), Nathanael West",Miss Lonelyhearts (1983)[N 4],Miss Lonelyhearts,1983,"Miss Lonelyhearts,1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miss Lonelyhearts,Nathanael West,"Miss Lonelyhearts,Nathanael West",Miss Lonelyhearts,"[""Nathanael West""]",3.58,6262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2263,"Moby-Dick (1851), Herman Melville",The Sea Beast (1926),The Sea Beast,1926,"The Sea Beast,1926",tt0017354,The Sea Beast,The Sea Beast,0,1926,136,"Action,Adventure,Fantasy",6.3,229,The Sea Beast,Moby-Dick,Herman Melville,"Moby-Dick,Herman Melville",NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2264,"Moby-Dick (1851), Herman Melville",Moby Dick (1930),Moby Dick,1930,"Moby Dick,1930",tt0021149,Moby Dick,Moby Dick,0,1930,80,"Adventure,Drama",5.7,673,Moby Dick,Moby-Dick,Herman Melville,"Moby-Dick,Herman Melville",NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2265,"Moby-Dick (1851), Herman Melville",Moby Dick (1956),Moby Dick,1956,"Moby Dick,1956",tt0049513,Moby Dick,Moby Dick,0,1956,116,"Adventure,Drama",7.3,23558,Moby Dick,Moby-Dick,Herman Melville,"Moby-Dick,Herman Melville",NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,5192,5192,"Jun 27, 1956",Moby Dick,4500000,10400000,"$10,411,891",5101,"Moby Dick,1956"
2266,"Moby-Dick (1851), Herman Melville",Moby Dick (1978),Moby Dick,1978,"Moby Dick,1978",tt0452823,Moby Dick,Moby Dick,0,1978,90,Drama,6.8,96,Moby Dick,Moby-Dick,Herman Melville,"Moby-Dick,Herman Melville",NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2267,"Moby-Dick (1851), Herman Melville",The Adventures of Young Moby Dick (1996)[N 4],The Adventures of Young Moby Dick,1996,"The Adventures of Young Moby Dick,1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moby-Dick,Herman Melville,"Moby-Dick,Herman Melville",NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2268,"Moby-Dick (1851), Herman Melville",Capitaine Achab (2004),Capitaine Achab,2004,"Capitaine Achab,2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moby-Dick,Herman Melville,"Moby-Dick,Herman Melville",NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2269,"Moby-Dick (1851), Herman Melville",Moby Dick (2010),Moby Dick,2010,"Moby Dick,2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moby-Dick,Herman Melville,"Moby-Dick,Herman Melville",NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2270,"Moby-Dick (1851), Herman Melville",Moby Dick (2011),Moby Dick,2011,"Moby Dick,2011",tt1984208,Moby Dick,Mo-bi-dik,0,2011,112,Action,6.3,571,Mo-bi-dik,Moby-Dick,Herman Melville,"Moby-Dick,Herman Melville",NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
